Time (uS) - Plot 0;Amplitude - Plot 0 - real;Time (uS) - Plot 0;Amplitude - Plot 1 - imag
0;2,70E+04;0;6,00E+03
20;5,00E+03;20;2,50E+04
40;-3,70E+04;40;-8,90E+04
60;-9,90E+04;60;5,00E+04
80;-1,00E+04;80;7,20E+04
100;2,50E+04;100;1,34E+05
120;7,20E+04;120;8,00E+04
140;7,40E+04;140;-1,04E+05
160;8,60E+04;160;-8,90E+04
180;5,00E+03;180;-7,70E+04
200;-8,90E+04;200;-1,50E+04
220;-3,20E+04;220;1,10E+05
240;8,30E+04;240;8,30E+04
260;7,00E+04;260;-3,10E+04
280;8,10E+04;280;-1,04E+05
300;-8,20E+04;300;-6,60E+04
320;-1,04E+05;320;-3,40E+04
340;-1,09E+05;340;2,60E+04
360;3,80E+04;360;5,50E+04
380;7,60E+04;380;3,80E+04
400;7,70E+04;400;-7,80E+04
420;-3,00E+03;420;-6,20E+04
440;-5,00E+03;440;-7,70E+04
460;-9,70E+04;460;-7,00E+03
480;-6,70E+04;480;8,50E+04
500;1,30E+04;500;1,29E+05
520;7,90E+04;520;2,40E+04
540;4,00E+04;540;-1,90E+04
560;3,60E+04;560;-1,09E+05
580;-4,50E+04;580;-7,80E+04
600;-9,40E+04;600;-1,70E+04
620;-4,60E+04;620;5,10E+04
640;8,30E+04;640;1,12E+05
660;6,30E+04;660;1,50E+04
680;7,40E+04;680;-5,60E+04
700;4,90E+04;700;-3,00E+04
720;-9,20E+04;720;-6,10E+04
740;-3,00E+03;740;-3,50E+04
760;-5,60E+04;760;3,80E+02
780;-2,40E+04;780;5,20E+04
800;2,70E+04;800;-3,40E+04
820;1,00E+04;820;-6,00E+04
840;1,00E+04;840;-7,00E+03
860;-3,20E+04;860;-1,10E+04
880;-2,50E+04;880;4,00E+03
900;-5,40E+04;900;-1,90E+04
920;-1,00E+03;920;2,60E+04
940;4,00E+03;940;1,80E+04
960;3,00E+03;960;-3,10E+04
980;-1,50E+04;980;-3,30E+04
1000;4,00E+03;1000;-5,80E+04
1020;3,00E+04;1020;6,80E+04
1040;-2,00E+03;1040;4,70E+04
1060;3,20E+04;1060;-4,10E+04
1080;2,00E+04;1080;-2,90E+04
1100;1,30E+04;1100;-5,80E+04
1120;-2,50E+04;1120;1,50E+04
1140;2,90E+04;1140;1,20E+04
1160;-4,40E+04;1160;4,00E+03
1180;-3,60E+04;1180;1,10E+04
1200;3,00E+04;1200;1,40E+04
1220;-4,60E+04;1220;4,30E+04
1240;1,20E+04;1240;-8,00E+03
1260;2,50E+04;1260;3,30E+04
1280;5,37E+02;1280;-5,00E+04
1300;1,20E+04;1300;2,00E+04
1320;-2,40E+04;1320;8,00E+03
1340;-1,70E+04;1340;-2,30E+04
1360;-5,00E+03;1360;6,00E+03
1380;1,30E+04;1380;5,10E+04
1400;-1,90E+04;1400;2,80E+04
1420;4,70E+04;1420;-2,40E+04
1440;1,10E+04;1440;4,00E+03
1460;-2,00E+04;1460;1,00E+04
1480;-8,00E+03;1480;4,60E+04
1500;-2,70E+04;1500;1,00E+04
1520;2,10E+04;1520;-1,60E+04
1540;4,80E+04;1540;2,80E+04
1560;-3,60E+04;1560;-8,00E+03
1580;2,00E+03;1580;2,80E+04
1600;-1,70E+04;1600;-1,10E+04
1620;-7,00E+03;1620;-3,00E+03
1640;-2,00E+03;1640;4,80E+04
1660;3,00E+03;1660;4,30E+04
1680;-3,10E+04;1680;7,00E+03
1700;1,00E+04;1700;6,00E+03
1720;-2,00E+03;1720;-1,40E+04
1740;1,10E+04;1740;3,10E+04
1760;1,50E+04;1760;6,00E+03
1780;5,60E+04;1780;-9,00E+03
1800;6,50E+04;1800;-2,80E+04
1820;-7,00E+03;1820;2,30E+04
1840;3,20E+04;1840;-3,30E+04
1860;-6,10E+04;1860;-2,30E+01
1880;4,10E+04;1880;3,80E+04
1900;2,00E+03;1900;-1,40E+04
1920;4,20E+04;1920;3,80E+04
1940;3,00E+04;1940;7,34E+02
1960;-1,00E+04;1960;-1,90E+04
1980;2,90E+04;1980;-3,60E+04
2000;-2,00E+04;2000;3,30E+04
2020;-6,00E+03;2020;4,60E+04
2040;6,00E+03;2040;-1,00E+03
2060;-1,40E+04;2060;-3,00E+04
2080;-2,20E+04;2080;-4,40E+04
2100;9,00E+03;2100;-8,00E+03
2120;-6,40E+04;2120;3,00E+03
2140;-7,00E+03;2140;-1,30E+04
2160;-5,00E+03;2160;-1,60E+04
2180;-4,30E+04;2180;-3,00E+03
2200;3,30E+04;2200;2,30E+04
