E powers,E(p),ksigma(p),ksigma(p) fit
0.0006454923,0.5695659359,3.1019560746,2.2932609799
0.0042770234,-0.4817077262,10.5876617414,10.1161797060
0.0047195436,-0.5385098024,10.9822596417,10.7259785697
0.0090971430,-1.0822543724,14.7149045924,14.9045592378
0.0134418740,-1.4388422412,17.0669215004,17.2457762540
0.0189605994,-1.6919760236,18.6107957085,19.0715054182
0.0210193760,-1.7999789966,19.2715268016,19.5656550154
0.0223357371,-1.8398233686,19.4907134025,19.8447399904
0.0260297157,-2.0049358965,20.4634650744,20.5076076101
0.0291701224,-2.0987065891,20.9649371072,20.9634317544
0.0338523245,-2.1879307662,21.3645908483,21.5115823381
0.0382073875,-2.3021712469,21.9406390273,21.9185734972
0.0473337091,-2.4888436408,22.7843733636,22.5582150027
0.0526960802,-2.5340923003,22.8586226706,22.8421980217
0.0537908746,-2.5566658175,22.9605226111,22.8939761707
0.0569763935,-2.5851817334,23.0178781459,23.0344897111
0.0643548793,-2.7080394500,23.5186168921,23.3114906107
0.0790917944,-2.8374828408,23.8115808785,23.7219361905
0.0895891007,-2.9257449508,24.0304537163,23.9375932164
0.1051813599,-3.0296380254,24.2533659649,24.1831489921
0.1161781291,-3.1075506033,24.4900247344,24.3188237639
