kSigma,error
0.0025279781245743636,2.4201214293200251e-05
"
"
kSigma,power
7.8223058229923537e-20,1.5848931924611143e-11
0.000298343869553944,0.00064549230808825229
0.0010821387091221833,0.0047195435724460451
0.0014408300223430258,0.0090971429871217306
0.0016677522852824346,0.01344187403986089
0.0018475189660441158,0.018960599410586129
0.0019378502489506503,0.022335737104727926
0.0020176246297378625,0.026029715703921767
0.0020865572785974716,0.029170122377406418
0.0021359811133090621,0.033852324524391103
0.0021848045989091964,0.038207387497454413
0.0022792926222680037,0.04733370907740659
0.0023110809325449472,0.053790874615060366
0.0023136806558883894,0.05697639350179904
0.0023495238381355463,0.06435487925718171
0.0023817383718160367,0.07909179437004267
0.0023895865654933648,0.089589100668808028
0.0023912679882563304,0.1051813598911369
0.002395444111180021,0.11970578327957333
0.0022954601752917252,0.052696080164721382
0.0018971612057175184,0.021019376038270868
0.0010291074000480598,0.0042770234258981722
