E powers,E(p),ksigma(p),ksigma(p) fit
0.0006454923,0.5697204648,3.0996630529,2.2972064153
0.0042770234,-0.4834417503,10.5967052731,10.1257447052
0.0047195436,-0.5388152411,10.9810560572,10.7354727671
0.0090971430,-1.0834881108,14.7201783772,14.9115908036
0.0134418740,-1.4408604589,17.0782391703,17.2499205146
0.0189605994,-1.6911699062,18.6037062500,19.0726473711
0.0210193760,-1.8010833956,19.2781186957,19.5658712962
0.0223357371,-1.8393612984,19.4868750910,19.8444121920
0.0260297157,-2.0087634040,20.4898274596,20.5059259825
0.0291701224,-2.0971376599,20.9554407798,20.9607688902
0.0338523245,-2.1878223713,21.3661468474,21.5076852460
0.0382073875,-2.2998575421,21.9285887831,21.9137217046
0.0473337091,-2.4874344879,22.7803824958,22.5517968027
0.0526960802,-2.5313631096,22.8469867659,22.8350585384
0.0537908746,-2.5549545938,22.9556593228,22.8867034644
0.0569763935,-2.5823675064,23.0063651982,23.0268528076
0.0643548793,-2.7053546029,23.5088570781,23.3031243560
0.0790917944,-2.8347402957,23.8018558538,23.7124614296
0.0895891007,-2.9243077011,24.0279185954,23.9275227240
0.1051813599,-3.0263077027,24.2362917485,24.1723890227
0.1161781291,-3.1046874762,24.4723061794,24.3076777507
