Atomic Number	Symbol	Mass Number	Isotope	Spin	Natural Abundance	Magnetic Moment	Magnetogyric ratio (10^7 rad / (T s))	Quadrupole Moment (Q/fm^2)	Frequency Ratio	Reference Sample	Sample Conditions	Literature	Line-width Factor (l/fm^4)	Relative Receptivity 1H	Relative Receptivity 13C
1	H	1	1H	1/2	99.9885	4.83735357	26.7522128		100	Me4Si	"CDC13, co= 1%"			1.000	5.87E+03
1	H	2	2H	1	0.0115	1.21260077	4.10662791	0.286	15.350609	(CD3)4Si	neat	15	0.41	1.11E-06	6.52E-03
1	H	3	3H	1/2		5.15971437	28.5349779		106.663974	Me4S1-t1		10			
2	He	3	3He	1/2	1.37E-04	-3.68515434	-20.3801587		76.179437	He	gas	11		6.06E-04	3.56E-03
3	Li	6	6Li	1	7.59	1.1625637	3.9371709	-0.0808	14.716086	LiCI	"D2O, 9.7 m"	9	0.033	6.45E-04	3.79
3	Li	7	7Li	3/2	92.41	4.20407505	10.3977013	-4.01	38.863797	LiCI	"D2O, 9.7 m"	9	21	0.271	1.59E+03
4	Be	9	9Be	3/2	100	-1.520136	-3.759666	5.288	14.051813	Be504	"D2O, 0.43 m"	9	37	1.39E-02	81.5
5	B	10	10B	3	19.9	2.0792055	2.8746786	8.459	10.743658	BF3.Et20	CDCl3	29	14	3.95E-03	23.2
5	B	11	11B	3/2	80.1	3.4710308	8.5847044	4.059	32.083974	BF3.Et20	CDCl3	29	22	0.132	7.77E+02
6	C	13	13C	1/2	1.07	1.216613	6.728284		25.14502	Me4Si	"CDCl3, phi = 1%"	"12,13"		1.70E-04	1.00
7	N	14	14N	1	99.632	0.57100428	1.9337792	2.044	7.226317	CH NO3	neat/CDCl3	9	21	1.00E-03	5.90
7	N	15	15N	1/2	0.368	-0.49049746	-2.71261804		10.136767	MeNO2	neat/CDC13	9		3.84E-06	2.25E-02
8	O	17	17O	5/2	0.038	-2.24077	-3.62808	-2.558	13.556457	D2O	neat	9	2.1	1.11E-05	6.50E-02
9	F	19	19F	1/2	100	4.553333	25.18148		94.094011	CC13F		14		0.834	4.90E+03
10	Ne	21	21Ne	3/2	0.27	-0.854376	-2.11308	10.155	7.894296	Ne	"gas, 1.1 Mpa"	9	140	6.65E-06	3.91E-02
11	Na	27	27Na	3/2	100	2.8629811	7.0808493	10.4	26.452	NaCl	"D2O, 0.1 M"	9	140	9.27E-02	5.45E+02
12	Mg	25	25Mg	5/2	10.00	-1.0122	-1.63887	19.94	6.121635	"MgCl2,"	"D2O, 11 M"	9	130	2.68E-04	1.58
13	Al	27	27Al	5/2	100	4.3086865	6.9762715	14.66	26.056859	Al(NO3)3	"D2O, 1.1 m"	9	69	0.207	1.22E+03
14	Si	29	29Si	1/2	4.6832	-0.96179	-5.319		19.867187	Me4Si	"CDC13, phi = 1%"	15		3.68E-04	2.16
15	P	31	31P	1/2	100	1.95999	10.8394		40.480742	H3PO4		16		6.65E-02	3.91E+02
16	S	33	33S	3/2	0.76	0.8311696	2.055685	-6.78	7.676	(NH4)2SO4	"D2O, sat."	9	61	1.72E-05	0.101
17	Cl	35	35Cl	3/2	75.78	1.061035	2.624198	-8.165	9.797909	NaCl	"D2O, 0.1 M"	9	89	3.58E-03	21.0
17	Cl	37	37Cl	3/2	24.22	0.8831998	2.184368	-6.435	8.155725	NaCl	"D2O, 0.1 M"	9	55	6.59E-04	3.87
19	K	39	39K	3/2	93.2581	0.50543376	1.2500608	5.85	4.666373	KCl	"D2O, 0.1 M"	9	46	4.76E-04	2.79
19	K	40	40K	4	0.0117	-1.4513203	-1.5542854	-7.3	5.802018	KCl	"D2O, 0.1 M"	31	5.2	6.12E-07	3.59E-03
19	K	41	41K	3/2	6.7302	0.27739609	0.68606808	7.11	2.561	KCl	"D2O, 0.1 M"	31	67	5.68E-06	3.33E-02
20	Ca	43	43Ca	7/2	0.135	-1.494067	-1.803069	-4.08	6.730029	CaCl2	"D2O, 0.1 M"	32	2.3	8.68E-06	5.10E-02
21	Sc	45	45Sc	7/2	100	5.3933489	6.5087973	-22.0	24.291	Sc(NO3)3	"D2O, 0.06 M"	9	66	0.302	1.78E+03
22	Ti	47	47Ti	5/2	7.44	-0.93294	-1.5105	30.2	5.637534	TiCI4	neat	9	290	1.56E-04	0.918
22	Ti	49	49Ti	7/2	5.41	-1.25201	-1.51095	24.7	5.639037	TiC14	neat	9	83	2.05E-04	1.20
23	V	50	50V	6	0.250	3.613757	2.670649	21.0	9.970309	VOC13	neat/C6D6	9	17	1.39E-04	0.818
23	V	51	51V	7/2	99.750	5.8380835	7.0455117	-5.2	26.302948	VOC13	neat/C6D6	9	3.7	0.383	2.25E+03
24	Cr	53	53Cr	3/2	9.501	-0.61263	-1.5152	-15.0	5.652496	K2CrO4	"D2O, sat."	9	300	8.63E-05	0.507
25	Mn	55	55Mn	5/2	100	4.1042437	6.6452546	33.0	24.789218	KMnO4	"D2O, 0.82 m"	9	350	0.179	1.05E+03
26	Fe	57	57Fe	1/2	2.119	0.1569636	0.8680624		3.237778	Fe(CO)5	C6D6	9		7.24E-07	4.25E-03
27	Co	59	59Co	7/2	100	5.247	6.332	42.0	23.727074	K3[Co(CN)6]	"D2O, 0.56 m"	9	240	0.278	1.64E+03
28	Ni	61	61Ni	3/2	1.1399	-0.96827	-2.3948	16.2	8.936051	Ni(C0)4	neat/C6D6	33	350	4.09E-05	0.240
29	Cu	63	63Cu	3/2	69.17	2.8754908	7.111789	-22.0	26.515473	[Cu(CH3CN)4][ClO4]	"CH3CN, sat."	9	650	6.50E-02	3.82E+02
29	Cu	65	65Cu	3/2	30.83	3.07465	7.60435	-20.4	28.403693	[Cu(CH3CN)4][ClO4]	"CH3CN, sat."	9	550	3.54E-02	2.08E+02
30	Zn	67	67Zn	5/2	4.10	1.035556	1.676688	15.0	6.256803	Zu(NO3)2	"D2O, sat."	9	72	1.18E-04	0.692
31	Ga	69	69Ga	3/2	60.108	2.603405	6.438855	17.1	24.001	Ga(NO3)3	"D2O, 1.1 m"	34	390	4.19E-02	2.46E+02
31	Ga	71	71Ga	3/2	39.892	3.307871	8.181171	10.7	30.496704	Ga(NO3)3	"D2O, 1.1 m"	34	150	5.71E-02	3.35E+02
32	Ge	73	73Ge	9/2	7.73	-0.9722881	-0.9360303	-19.6	3.488315	(CH3)4Ge	neat	35	28	1.09E-04	0.642
33	As	75	75As	3/2	100	1.858354	4.596163	31.4	17.122614	NaAsF6	"CD3CN, 0.5 M"	9	1300	2.54E-02	1.49E+02
34	Se	77	77Se	1/2	7.63	0.92677577	5.1253857		19.071513	Me2-Se	neat/C6D6	9		5.37E-04	3.15
35	Br	79	79Br	3/2	50.69	2.719351	6.725616	31.3	25.05398	NaBr	"D2O, 0.01 M"	9	1300	4.03E-02	2.37E+02
35	Br	81	81Br	3/2	49.31	2.931	7.249776	26.2	27.006518	NaBr	"D2O, 0.01 M"	9	920	4.91E-02	2.88E+02
36	Kr	83	83Kr	9/2	11.49	-1.073	-1.033	25.9	3.8476	Kr	gas	36	50	2.18E-04	1.28
37	Rb	85	85Rb	5/2	72.17	1.6013071	2.592705	27.6	9.654943	RbCI	"D2O, 0.01 M"	9	240	7.67E-03	45.0
37	Rb	87	87Rb	3/2	27.83	3.552582	8.7864	13.35	32.720454	RbCI	"D2O, 0.01 M"	9	240	4.93E-02	2.90E+02
38	Sr	87	87Sr	9/2	7.00	-1.2090236	-1.1639376	33.5	4.333822	SrC12	"D2O, 0.5 M"	37	83	1.90E-04	1.12
39	Y	89	89Y	1/2	100	-0.23801049	-1.3162791		4.900198	Y(NO3)3	H20/D20	9		1.19E-04	0.700
